"","X..","lvl1Hint","studentID","currPrb","state","elTime","levelsPresented","lvl1HintFollowed","stateChangedB4FollowHint","lvl1_timeCost","diffRulesApplied","diffNodesHighlighted","nodesDerived","numRestart","numDiffNodeInResult"
"13",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication]/-R","240.085",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"14",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law]/-R","293.689",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication]/-R","345.065",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law]/-R","575.766",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","648.267",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"18",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","987.039",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"19",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law]/-R","1240.96",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication]/-R","1802.29",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"21",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],--R[4;;Negation of Conclusion],R[5;4;Double Negation],(W+-R)[6;1;Simplification]/#","182.255",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Try to derive -W","mbkilroy","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","66.014",1,TRUE,4,77.133,3,3,4,0,2
"23",NA,"Try to derive -J","mbkilroy","3.-1.1.0","(K+J)[1;0;Given],(-Z*-R)[2;0;Given],(J>Z)[3;0;Given]/((J+L)+K)","27.033",1,TRUE,2,6.804,2,1,2,0,2
"24",NA,"Try to derive -(-K+-Z)","mbkilroy","3.-1.2.0","(C*-F)[1;0;Given],(-C>F)[2;0;Given],(-F>-(-K+-Z))[3;0;Given],(D>(-K+-Z))[4;0;Given]/(-C+-D)","21.642",1,TRUE,0,0,0,1,0,0,0
"25",NA,"Try to derive (-Y+T)>(X+S)","mbkilroy","4.1.2.0","(Z>(-Y>X))[1;0;Given],(Z*-W)[2;0;Given],(W+(T>S))[3;0;Given],(-Y+T)[4;0;Given]/(X+S)","33.458",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"26",NA,"Try to derive (-Y+T)>(X+S)","mbkilroy","4.1.2.0","(Z>(-Y>X))[1;0;Given],(Z*-W)[2;0;Given],(W+(T>S))[3;0;Given],(-Y+T)[4;0;Given]/(X+S)","208.23",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"27",NA,"Try to derive (-Y+T)>(X+S)","mbkilroy","4.1.2.0","(Z>(-Y>X))[1;0;Given],(Z*-W)[2;0;Given],(W+(T>S))[3;0;Given],(-Y+T)[4;0;Given],Z[5;2;Simplification],(-Y>X)[6;5,1;Modus Ponens]/(X+S)","254.677",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"28",NA,"Try to derive (-Y+T)>(X+S)","mbkilroy","4.1.2.0","(Z>(-Y>X))[1;0;Given],(Z*-W)[2;0;Given],(W+(T>S))[3;0;Given],(-Y+T)[4;0;Given]/(X+S)","319.97",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"29",NA,"Try to derive (-Y+T)>(X+S)","mbkilroy","4.-1.2.0","(Z>(-Y>X))[1;0;Given],(Z*-W)[2;0;Given],(W+(T>S))[3;0;Given],(-Y+T)[4;0;Given]/(X+S)","28.348",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"30",NA,"Try to derive -F","mbkilroy","4.-1.3.0","((-F+G)>(W+-G))[1;0;Given],((-Y>-F)*(E>G))[2;0;Given],(-Y+E)[3;0;Given],-W[4;0;Given]/(-F*-G)","68.528",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"31",NA,"Try to derive (-A>-B)","mbkilroy","5.-1.2.0","-(G*A)[1;0;Given],(B>A)[2;0;Given],(-G+-A)[3;1;DeMorgan's Law],(G>-A)[4;3;Implication]/(G>-B)","152.7",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"32",NA,"Try to derive (-A>-B)","mbkilroy","5.-1.2.0","-(G*A)[1;0;Given],(B>A)[2;0;Given]/(G>-B)","162.421",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"33",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given]/W","15.19",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"34",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],H[4;3,1;Modus Ponens]/W","32.609",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"35",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],H[4;3,1;Modus Ponens],(W+(-H*-F))[5;2;Implication]/W","209.819",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],H[4;3,1;Modus Ponens],(W+(-H*-F))[5;2;Implication],(W+-(H+F))[6;5;DeMorgan's Law]/W","235.439",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"37",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given]/W","255.002",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"38",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication]/W","313.936",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication],(W+-(H+F))[5;4;DeMorgan's Law]/W","335.887",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"40",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given]/W","5.957",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"41",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication],(W+-(H+F))[5;4;DeMorgan's Law]/W","48.214",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"42",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication]/W","78.38",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication],H[5;3,1;Modus Ponens]/W","91.502",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(-W>-(H+F))[4;2;DeMorgan's Law],(W+-(H+F))[5;4;Implication],(W+(-H*-F))[6;5;DeMorgan's Law]/W","183.629",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"45",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given]/W","215.482",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"46",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(-(-H*-F)>--W)[4;2;Contrapositive],((--H+--F)>--W)[5;4;DeMorgan's Law]/W","273.565",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"47",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(-(-H*-F)>--W)[4;2;Contrapositive],((--H+--F)>--W)[5;4;DeMorgan's Law],(---W>-(--H+--F))[6;5;Contrapositive]/W","366.615",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"48",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication]/W","445.236",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"49",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(W+(-H*-F))[4;2;Implication],H[5;3,1;Modus Ponens]/W","479.111",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"50",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given]/W","4.076",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"51",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(-(-H*-F)>--W)[4;2;Contrapositive],((--H+--F)>--W)[5;4;DeMorgan's Law]/W","42.051",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"52",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],(-(-H*-F)>--W)[4;2;Contrapositive],((--H+--F)>--W)[5;4;DeMorgan's Law],H[6;3,1;Modus Ponens]/W","81.156",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],-W[4;;Negation of Conclusion]/#","4.574",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],-W[4;;Negation of Conclusion],(-H*-F)[5;4,2;Modus Ponens]/#","25.207",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"55",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],-W[4;;Negation of Conclusion],(-H*-F)[5;4,2;Modus Ponens],H[6;1,3;Modus Ponens]/#","45.558",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Try to derive --H+--F","mbkilroy","6.-1.2.0","(J>H)[1;0;Given],(-W>(-H*-F))[2;0;Given],J[3;0;Given],-W[4;;Negation of Conclusion],(-H*-F)[5;4,2;Modus Ponens],H[6;1,3;Modus Ponens]/#","74.538",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"57",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens]/W","14.676",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"58",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","41.122",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"59",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((K*-N)+W)[5;1;Implication]/W","85.247",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"60",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],(-W>--(K*-N))[4;1;Contrapositive],(W+--(K*-N))[5;4;Implication]/W","563.553",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"61",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given]/W","593.309",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"62",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law]/W","618.377",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"63",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law],(-W>-(-K+--N))[5;4;Contrapositive]/W","647.359",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"64",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law]/W","656.451",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"65",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law],(-(-K+--N)+W)[5;4;Implication]/W","768.133",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law]/W","812.182",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"67",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law]/W","830.472",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"68",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given]/W","6.943",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"69",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],(-W>--(K*-N))[4;1;Contrapositive]/W","44.401",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"70",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law]/W","293.194",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"71",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law],-K[5;2,3;Modus Tollens]/W","328.275",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"72",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],((-K+--N)>W)[4;1;DeMorgan's Law],-K[5;2,3;Modus Tollens],(-W>-(-K+--N))[6;4;Contrapositive]/W","461.945",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"73",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens]/W","498.938",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"74",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((K*-N)+W)[5;1;Implication]/W","545.439",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"75",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","722.231",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"76",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law],((-K+N)>W)[6;5;Double Negation]/W","744.863",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"77",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law],((-K+N)>W)[6;5;Double Negation],(-W>-(-K+N))[7;6;Contrapositive]/W","765.588",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"78",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens]/W","789.286",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"79",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],(-W>--(K*-N))[5;1;Contrapositive]/W","791.985",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"80",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","804.092",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"81",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","1016.79",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"82",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","1017.43",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"83",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","1017.98",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"84",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law],(-W>-(-K+--N))[6;5;Contrapositive]/W","1094.49",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"85",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","1329.91",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"86",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law],(-W>-(-K+--N))[6;5;Contrapositive]/W","1346.91",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"87",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law]/W","1395.82",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"88",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],(-W>--(K*-N))[5;1;Contrapositive]/W","1454.34",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"89",NA,"Try to derive -K+--N","mbkilroy","6.-1.2.1","(-(K*-N)>W)[1;0;Given],-L[2;0;Given],(K>L)[3;0;Given],-K[4;2,3;Modus Tollens],((-K+--N)>W)[5;1;DeMorgan's Law],(-(-K+--N)+W)[6;5;Implication]/W","1485.95",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"90",NA,"Try to derive -W","cbritt","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","2461.7",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"91",NA,"Try to derive -W","cbritt","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given]/-R","2463.2",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"92",NA,"Try to derive -W","cbritt","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law],(-W+(-G*-Z))[6;5;Commutative],((-W+-G)*(-W+-Z))[7;6;Distributive]/-R","1518.28",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"93",NA,"Try to derive -W","cbritt","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law],(-W+(-G*-Z))[6;5;Commutative],((-W+-G)*(-W+-Z))[7;6;Distributive],(-W+-Z)[8;7;Simplification]/-R","2022.19",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"94",NA,"Try to derive -W","cbritt","1.0.3.0","((W+-R)*N)[1;0;Given],((G+Z)>-W)[2;0;Given],Z[3;0;Given],(-(G+Z)+-W)[4;2;Implication],((-G*-Z)+-W)[5;4;DeMorgan's Law],(-W+(-G*-Z))[6;5;Commutative],((-W+-G)*(-W+-Z))[7;6;Distributive],(-W+-Z)[8;7;Simplification]/-R","2187.86",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"95",NA,"Try to derive -R","cbritt","2.1.1.0","((-T*S)>-R)[1;0;Given],-T[2;0;Given],((-Q+P)>S)[3;0;Given],(Q>T)[4;0;Given],-Q[5;2,4;Modus Tollens],(-(-Q+P)+S)[6;3;Implication],(-(-T*S)+-R)[7;1;Implication]/(-R+N)","570.155",1,FALSE,NA,NA,NA,NA,NA,NA,NA
"96",NA,"Try to derive -R","cbritt","2.1.1.0","((-T*S)>-R)[1;0;Given],-T[2;0;Given],((-Q+P)>S)[3;0;Given],(Q>T)[4;0;Given],-Q[5;2,4;Modus Tollens],(-(-Q+P)+S)[6;3;Implication],(-(-T*S)+-R)[7;1;Implication],((--Q*-P)+S)[8;6;DeMorgan's Law],((Q*-P)+S)[9;8;Double Negation]/(-R+N)","666.017",1,FALSE,NA,NA,NA,NA,NA,NA,NA
