studentID,collaborators,interaction,numInteractionCurr,numInteractionTotal,direction,proofDir,action,rule,numAction1Curr,numAction2Curr,numAction3Curr,numAction4Curr,numAction5Curr,numAction6Curr,numAction7Curr,numAction8Curr,numAction9Curr,numAction10Curr,numAction1Total,numAction2Total,numAction3Total,numAction4Total,numAction5Total,numAction6Total,numAction7Total,numAction8Total,numAction9Total,numAction10Total,currPrb,hintType,hintGiven,isForced,hintCount,stepTime,elTime,certificate,numProblemsCompleted,PPType,numAttempts,hintFollow
gitopali,,674,1,1,0,0,1,((A>-B)+C),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.1.1.0,3,Try to derive B>-A,1,1,15.447,15.447,,9,11,0,0
gitopali,,124,8,8,0,0,1,((-K+L)>(M*N)),2,0,6,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,2.-1.2.0,3,Try to derive M*N,1,1,6521.3189999999995,6598.95,,10,7,0,1
rmwalden,,56,11,19,0,0,7,get,3,1,6,0,0,0,1,0,0,0,7,3,8,0,0,0,1,0,0,0,1.0.3.0,3,Try to derive -W,0,2,10.586000000000013,249.811,,0,0,1,1
rmwalden,,167,1,1,0,0,1,(C*-F),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,40.104,40.104,,5,2,0,1
rmwalden,,172,5,5,0,0,3,MP,2,0,2,0,1,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,0,18.037999999999997,69.809,,5,2,0,1
rmwalden,,751,1,1,0,0,1,(S+B),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1.1.0,3,Try to derive (-D>G),1,1,398.883,398.883,,6,-1,0,0
rmwalden,,753,3,3,0,0,1,(-S>B),2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,6.1.1.0,3,Try to derive (-D>G),1,1,24.197000000000003,424.424,,6,-1,0,0
rmwalden,,768,16,16,0,0,7,get,8,0,5,0,1,1,1,0,0,0,8,0,5,0,1,1,1,0,0,0,6.1.1.0,3,Try to derive (-D>G),0,1,10.509000000000015,479.273,,6,-1,0,0
rmwalden,,182,1,1,0,0,1,((I*Q)>D),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.3.0,3,Try to derive (I*Q),1,1,333.078,333.078,,7,2,0,1
rmwalden,,188,4,4,0,0,3,DS,2,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,3.-1.3.0,3,Try to derive (I*Q),1,0,7.637999999999977,350.78,,7,2,0,1
rmwalden,,189,5,5,0,0,1,(S>Y),3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,3.-1.3.0,3,Try to derive S,1,1,18.66300000000001,369.443,,7,2,0,0
rmwalden,,193,7,7,0,0,7,get,3,0,2,0,0,1,1,0,0,0,3,0,2,0,0,1,1,0,0,0,3.-1.3.0,3,Try to derive S,0,1,5.272999999999968,377.328,,7,2,0,0
rmwalden,,194,8,8,0,0,7,get,3,0,2,0,0,1,2,0,0,0,3,0,2,0,0,1,2,0,0,0,3.-1.3.0,3,Try to derive S,0,2,5.761000000000024,383.089,,7,2,0,0
rmwalden,,207,14,14,0,0,1,(S>Y),6,0,5,0,0,1,2,0,0,0,6,0,5,0,0,1,2,0,0,0,3.-1.3.0,3,Try to derive S,1,1,23.115999999999985,436.041,,7,2,0,0
rmwalden,,218,21,21,0,0,1,((I*Q)>D),10,0,7,0,0,2,2,0,0,0,10,0,7,0,0,2,2,0,0,0,3.-1.3.0,3,Try to derive S,1,1,14.521999999999991,468.243,,7,2,0,0
rmwalden,,222,23,23,0,0,7,get,10,0,8,0,0,2,3,0,0,0,10,0,8,0,0,2,3,0,0,0,3.-1.3.0,3,Try to derive S,0,2,45.66799999999995,521.492,,7,2,0,0
rmwalden,,225,26,26,0,0,1,(I*Q),12,0,8,0,0,3,3,0,0,0,12,0,8,0,0,3,3,0,0,0,3.-1.3.0,3,Try to derive S,1,1,14.31000000000006,542.24,,7,2,0,0
rmwalden,,254,1,35,0,0,7,get,0,0,0,0,0,0,1,0,0,0,15,1,11,0,0,3,4,0,1,0,3.-1.3.0,3,Try to derive I*Q,0,1,3.257,3.257,,7,2,1,1
rmwalden,,265,7,41,0,0,7,get,2,0,3,0,0,0,2,0,0,0,17,1,14,0,0,3,5,0,1,0,3.-1.3.0,3,Try to derive (D+Y),0,1,3.955000000000002,32.301,,7,2,1,0
rmwalden,,274,15,49,0,0,1,((I*Q)>D),6,0,6,0,1,0,2,0,0,0,21,1,17,0,1,3,5,0,1,0,3.-1.3.0,3,Try to derive (S>Y),1,1,52.653,113.681,,7,2,1,0
rmwalden,,283,20,54,0,0,1,(D+Y),8,0,9,0,1,0,2,0,0,0,23,1,20,0,1,3,5,0,1,0,3.-1.3.0,3,Try to derive S,1,1,32.82300000000001,157.079,,7,2,1,0
rmwalden,,527,1,1,0,0,1,((A>-B)+C),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.1.1.0,3,Try to derive B>-A,1,1,18.344,18.344,,9,6,0,0
rmwalden,,530,4,4,0,0,1,(D+B),3,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,5.1.1.0,3,Try to derive (-D>B),1,1,43.863,65.271,,9,6,0,0
rmwalden,,537,8,8,0,0,1,(-A+-B),5,0,3,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,5.1.1.0,3,Try to derive (B>-A),1,1,19.528000000000006,139.067,,9,6,0,0
rmwalden,,541,11,11,0,0,7,get,5,0,4,0,0,1,1,0,0,0,5,0,4,0,0,1,1,0,0,0,5.1.1.0,3,Try to derive (B>-A),0,1,3.6850000000000023,156.79,,9,6,0,0
rmwalden,,546,16,16,0,0,3,Simp,8,0,6,0,0,1,1,0,0,0,8,0,6,0,0,1,1,0,0,0,5.1.1.0,3,Try to derive (B>-A),1,1,7.540999999999997,188.551,,9,6,0,0
rmwalden,,566,21,21,0,0,7,get,8,0,9,0,0,2,2,0,0,0,8,0,9,0,0,2,2,0,0,0,5.1.1.0,3,Try to derive (B>-A),0,1,1.8060000000000116,252.972,,9,6,0,0
rmwalden,,567,22,22,0,0,7,get,8,0,9,0,0,2,3,0,0,0,8,0,9,0,0,2,3,0,0,0,5.1.1.0,3,Try to derive (B>-A),0,2,1.252999999999986,254.225,,9,6,0,0
rmwalden,,570,1,24,0,0,7,get,0,0,0,0,0,0,1,0,0,0,8,0,9,0,0,2,4,0,1,0,5.1.1.0,3,Try to derive B>-A,0,1,1.579,1.579,,9,6,1,1
rmwalden,,576,7,30,0,0,7,get,3,0,2,0,0,0,2,0,0,0,11,0,11,0,0,2,5,0,1,0,5.1.1.0,3,Try to derive (B>-A),0,1,9.546000000000001,24.78,,9,6,1,0
rmwalden,,584,13,36,0,0,1,(B>-A),6,0,4,0,1,0,2,0,0,0,14,0,13,0,1,2,5,0,1,0,5.1.1.0,3,Try to derive (A>D),1,1,13.268999999999991,77.972,,9,6,1,0
rmwalden,,107,1,1,0,0,1,(-I*J),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.-1.1.0,3,Try to derive F,1,1,47.295,47.295,,10,7,0,1
wtshaw,,36,15,15,0,0,1,(-D*E),9,3,3,0,0,0,0,0,0,0,9,3,3,0,0,0,0,0,0,0,1.0.1.0,3,Try to derive -D,1,1,17.956999999999994,710.057,,1,0,0,0
wtshaw,,39,16,16,0,0,7,get,9,3,3,0,0,0,1,0,0,0,9,3,3,0,0,0,1,0,0,0,1.0.1.0,3,Try to derive -D,0,2,10.31899999999996,720.376,,1,0,0,0
wtshaw,,40,17,17,0,0,7,get,9,3,3,0,0,0,2,0,0,0,9,3,3,0,0,0,2,0,0,0,1.0.1.0,3,Try to derive -D,0,3,1.3100000000000591,721.686,,1,0,0,0
wtshaw,,41,18,18,0,0,7,get,9,3,3,0,0,0,3,0,0,0,9,3,3,0,0,0,3,0,0,0,1.0.1.0,3,Try to derive -D,0,4,0.52800000000002,722.214,,1,0,0,0
wtshaw,,44,19,19,0,0,7,get,9,3,3,0,0,0,4,0,0,0,9,3,3,0,0,0,4,0,0,0,1.0.1.0,3,Try to derive -D,0,5,6.515999999999963,728.73,,1,0,0,0
wtshaw,,60,25,25,0,0,7,get,11,5,3,0,0,1,5,0,0,0,11,5,3,0,0,1,5,0,0,0,1.0.1.0,3,Try to derive -D,0,1,4.823999999999955,755.242,,1,0,0,0
wtshaw,,82,37,37,0,0,7,get,15,8,7,0,0,1,6,0,0,0,15,8,7,0,0,1,6,0,0,0,1.0.1.0,3,Try to derive -D,0,1,7.524000000000001,884.706,,1,0,0,0
wtshaw,,92,42,42,0,0,1,(-A+(B*C)),18,9,8,0,0,1,6,0,0,0,18,9,8,0,0,1,6,0,0,0,1.0.1.0,3,Try to derive -D,1,1,86.47800000000007,1081.22,,1,0,0,0
wtshaw,,3,1,56,0,0,1,(-D*E),1,0,0,0,0,0,0,0,0,0,25,13,11,0,0,1,6,0,0,0,1.0.1.0,3,Try to derive -D,1,1,81.376,81.376,,1,0,1,1
wtshaw,,11,8,63,0,0,1,(A+D),4,1,3,0,0,0,0,0,0,0,28,14,14,0,0,1,6,0,0,0,1.0.1.0,3,Try to derive -D,1,1,29.167,161.835,,1,0,1,1
wtshaw,,6,1,72,0,1,7,get,0,0,0,0,0,0,1,0,0,0,31,16,17,0,0,1,7,0,0,0,1.0.1.0,3,Try to derive -D,0,2,12.517,12.517,,1,0,2,1
wtshaw,,7,2,73,0,1,7,get,0,0,0,0,0,0,2,0,0,0,31,16,17,0,0,1,8,0,0,0,1.0.1.0,3,Try to derive -D,0,3,0.5730000000000004,13.09,,1,0,2,1
wtshaw,,8,3,74,0,1,7,get,0,0,0,0,0,0,3,0,0,0,31,16,17,0,0,1,9,0,0,0,1.0.1.0,3,Try to derive -D,0,4,0.5020000000000007,13.592,,1,0,2,1
wtshaw,,43,17,91,0,0,3,Impl,5,2,9,0,1,0,0,0,0,0,36,18,26,0,1,1,9,0,0,0,1.0.1.0,3,Try to derive (B*C),1,0,1.9310000000000116,220.203,,1,0,3,1
wtshaw,,87,46,120,0,0,3,DS,17,8,19,0,1,1,0,0,0,0,48,24,36,0,1,2,9,0,0,0,1.0.1.0,3,Try to derive (B*C),1,1,10.081999999999994,443.478,,1,0,3,1
wtshaw,,115,62,136,0,0,3,DS,21,11,28,0,1,1,0,0,0,0,52,27,45,0,1,2,9,0,0,0,1.0.1.0,3,Try to derive (B*C),1,1,10.122000000000071,798.6,,1,0,3,1
wtshaw,,157,91,165,0,0,7,get,30,17,39,0,1,3,1,0,0,0,61,33,56,0,1,4,10,0,0,0,1.0.1.0,3,Try to derive A,0,1,1.1940000000000737,961.469,,1,0,3,1
wtshaw,,291,1,1,0,0,1,(C*-F),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.2.0,3,Try to derive -(-K+-Z),1,1,46.702,46.702,,5,2,0,1
wtshaw,,302,8,8,0,0,1,(-C>F),3,0,4,0,1,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,20.59599999999999,89.954,,5,2,0,0
wtshaw,,312,13,13,0,0,3,CP,4,0,7,0,2,0,0,0,0,0,4,0,7,0,2,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,15.432999999999993,178.506,,5,2,0,0
wtshaw,,322,21,21,0,0,1,(D>F),8,1,9,0,3,0,0,0,0,0,8,1,9,0,3,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,14.393000000000029,271.533,,5,2,0,0
wtshaw,,324,23,23,0,0,1,(-D+F),9,1,10,0,3,0,0,0,0,0,9,1,10,0,3,0,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,71.178,344.118,,5,2,0,0
wtshaw,,328,27,27,0,0,1,(C+F),11,1,11,0,3,1,0,0,0,0,11,1,11,0,3,1,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,15.560000000000002,363.214,,5,2,0,1
wtshaw,,333,30,30,0,0,3,CP,12,1,12,0,3,2,0,0,0,0,12,1,12,0,3,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,0,52.230999999999995,421.871,,5,2,0,1
wtshaw,,335,31,31,0,0,1,(-F>--C),13,1,12,0,3,2,0,0,0,0,13,1,12,0,3,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,10.354000000000042,432.225,,5,2,0,1
wtshaw,,350,41,41,0,0,1,(-F>--C),16,3,16,0,4,2,0,0,0,0,16,3,16,0,4,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,11.688999999999965,511.659,,5,2,0,1
wtshaw,,367,52,52,0,0,3,HS,21,5,20,0,4,2,0,0,0,0,21,5,20,0,4,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,9.396000000000072,566.917,,5,2,0,1
wtshaw,,395,72,72,0,0,1,(C+F),29,7,25,0,6,5,0,0,0,0,29,7,25,0,6,5,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,24.87900000000002,691.467,,5,2,0,1
wtshaw,,404,1,1,0,0,1,((S>Y)+(I*Q)),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.3.0,3,Try to derive (I*Q),1,1,23.497,23.497,,6,2,0,1
wtshaw,,415,9,9,0,0,1,(-(S>Y)+D),4,1,3,0,1,0,0,0,0,0,4,1,3,0,1,0,0,0,0,0,3.-1.3.0,3,Try to derive (I*Q),1,1,21.213000000000008,110.263,,6,2,0,1
wtshaw,,460,39,39,0,0,1,(-I+-Q),15,7,14,0,3,0,0,0,0,0,15,7,14,0,3,0,0,0,0,0,3.-1.3.0,3,Try to derive (S>Y),1,1,20.812000000000012,343.096,,6,2,0,0
wtshaw,,471,46,46,0,0,1,(S*-Y),18,8,16,0,3,1,0,0,0,0,18,8,16,0,3,1,0,0,0,0,3.-1.3.0,3,Try to derive (S>Y),1,1,7.799000000000035,364.624,,6,2,0,0
wtshaw,,490,55,55,0,0,3,Impl,21,10,18,0,3,3,0,0,0,0,21,10,18,0,3,3,0,0,0,0,3.-1.3.0,3,Try to derive (S>Y),1,1,22.158999999999992,444.37,,6,2,0,0
wtshaw,,492,57,57,0,0,1,(-(S>Y)+D),22,10,18,0,4,3,0,0,0,0,22,10,18,0,4,3,0,0,0,0,3.-1.3.0,3,Try to derive S,1,1,20.71799999999996,481.001,,6,2,0,0
wtshaw,,505,1,62,0,1,1,((S>Y)+(I*Q)),1,0,0,0,0,0,0,0,0,0,24,10,21,0,4,3,0,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,20.595,20.595,,6,2,1,0
wtshaw,,510,4,65,0,1,7,get,1,0,2,0,0,0,1,0,0,0,24,10,23,0,4,3,1,0,0,0,3.-1.3.0,3,Try to derive I*Q,0,2,7.822000000000003,43.814,,6,2,1,0
wtshaw,,511,5,66,0,1,7,get,1,0,2,0,0,0,2,0,0,0,24,10,23,0,4,3,2,0,0,0,3.-1.3.0,3,Try to derive I*Q,0,3,0.47399999999999665,44.288,,6,2,1,0
wtshaw,,532,18,79,0,1,3,DN,5,2,8,0,1,0,2,0,0,0,28,12,29,0,5,3,2,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,9.426999999999992,130.628,,6,2,1,0
wtshaw,,537,22,83,0,1,1,((S>Y)+(I*Q)),7,2,9,0,2,0,2,0,0,0,30,12,30,0,6,3,2,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,41.08100000000002,180.073,,6,2,1,0
wtshaw,,551,32,93,0,1,1,(S*-Y),12,3,12,0,3,0,2,0,0,0,35,13,33,0,7,3,2,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,1,19.310000000000002,242.544,,6,2,1,0
wtshaw,,563,42,103,0,1,6,((-(S>Y)+(S>Y))>(D+D)),16,6,13,0,4,1,2,0,0,0,39,16,34,0,8,4,2,0,0,0,3.-1.3.0,3,Try to derive I*Q,1,0,1.649000000000001,310.894,,6,2,1,0
wtshaw,,571,48,109,0,1,2,(-S+Y),19,7,15,0,4,1,2,0,0,0,42,17,36,0,8,4,2,0,0,0,3.-1.3.0,3,Try to derive S,1,1,16.063999999999965,343.378,,6,2,1,1
wtshaw,,581,56,117,0,1,2,(-S+Y),22,9,17,0,5,1,2,0,0,0,45,19,38,0,9,4,2,0,0,0,3.-1.3.0,3,Try to derive --S,1,1,2.4540000000000077,367.456,,6,2,1,0
wtshaw,,615,76,137,0,1,1,S,31,16,21,0,5,1,2,0,0,0,54,26,42,0,9,4,2,0,0,0,3.-1.3.0,3,Try to derive --S,1,1,2.8590000000000373,465.288,,6,2,1,0
wtshaw,,221,1,1,0,0,1,(L*K),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.-1.3.0,3,Try to derive K,1,1,20.473,20.473,,9,7,0,1
wtshaw,,231,10,10,0,0,3,HS,5,0,3,0,2,0,0,0,0,0,5,0,3,0,2,0,0,0,0,0,2.-1.3.0,3,Try to derive (Q>P),1,1,9.253999999999998,55.955,,9,7,0,1
wtshaw,,998,1,1,0,0,1,(-R+Z),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.-1.1.0,3,Try to derive Z>-G,1,1,10.638,10.638,,11,3,0,1
wrcoakle,,1652,1,1,0,0,1,(B=-J),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1.2.0,3,Try to derive -J>-N,1,1,24.477,24.477,,2,-1,0,1
wrcoakle,,1658,6,6,0,0,3,Impl,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,6.1.2.0,3,Try to derive -J>-N,1,1,1.642000000000003,41.131,,2,-1,0,1
wrcoakle,,1670,12,12,0,0,1,(N>J),6,2,3,0,1,0,0,0,0,0,6,2,3,0,1,0,0,0,0,0,6.1.2.0,3,Try to derive -J>-N,1,1,7.447999999999993,67.907,,2,-1,0,1
wrcoakle,,1696,32,32,0,0,1,(N>B),15,7,6,0,3,1,0,0,0,0,15,7,6,0,3,1,0,0,0,0,6.1.2.0,3,Try to derive (-J>-N),1,1,1.5549999999999784,157.885,,2,-1,0,0
wrcoakle,,1701,37,37,0,0,7,get,17,8,7,0,3,1,1,0,0,0,17,8,7,0,3,1,1,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,1,3.765999999999991,182.608,,2,-1,0,0
wrcoakle,,1703,39,39,0,0,7,get,17,8,7,0,3,2,2,0,0,0,17,8,7,0,3,2,2,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,1,3.5049999999999955,188.307,,2,-1,0,0
wrcoakle,,1718,52,52,0,0,7,get,22,12,9,0,4,2,3,0,0,0,22,12,9,0,4,2,3,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,1,2.704999999999984,247.993,,2,-1,0,0
wrcoakle,,1737,63,63,0,0,7,get,26,15,11,0,4,3,4,0,0,0,26,15,11,0,4,3,4,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,1,1.7479999999999905,322.565,,2,-1,0,0
wrcoakle,,1738,64,64,0,0,7,get,26,15,11,0,4,3,5,0,0,0,26,15,11,0,4,3,5,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,2,9.387999999999977,331.953,,2,-1,0,0
wrcoakle,,1739,65,65,0,0,7,get,26,15,11,0,4,3,6,0,0,0,26,15,11,0,4,3,6,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,3,0.5020000000000095,332.455,,2,-1,0,0
wrcoakle,,1740,66,66,0,0,7,get,26,15,11,0,4,3,7,0,0,0,26,15,11,0,4,3,7,0,0,0,6.1.2.0,3,Try to derive ((B>-J)*(-J>B)),0,4,0.3240000000000123,332.779,,2,-1,0,0
wrcoakle,,714,1,1,0,0,1,(C*-F),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.-1.2.0,3,Try to derive -(-K+-Z),1,1,19.198,19.198,,3,2,0,1
wrcoakle,,736,19,19,0,0,3,MP,8,2,4,0,3,2,0,0,0,0,8,2,4,0,3,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,0,10.631,87.657,,3,2,0,1
wrcoakle,,742,22,22,0,0,1,(--K*--Z),9,2,6,0,3,2,0,0,0,0,9,2,6,0,3,2,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,0,8.199999999999989,117.002,,3,2,0,1
wrcoakle,,755,28,28,0,0,3,Add,10,2,10,0,3,3,0,0,0,0,10,2,10,0,3,3,0,0,0,0,3.-1.2.0,3,Try to derive -D,1,1,11.436999999999983,158.243,,3,2,0,1
wrcoakle,,1392,2,8,0,0,1,(B>G),1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,4.-1.2.0,3,Try to derive -B,1,1,16.588,16.962,,4,9,4,1
wrcoakle,,1411,12,18,0,0,3,DS,5,2,3,0,1,0,0,0,0,1,5,2,3,0,1,0,0,0,0,7,4.-1.2.0,3,Try to derive (C>D),1,0,4.5319999999999965,64.231,,4,9,4,0
wrcoakle,,617,1,1,0,0,1,(K>O),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.-1.2.0,3,Try to derive M*N,1,1,29.383,29.383,,6,0,0,1
wrcoakle,,623,6,6,0,0,3,DS,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,2.-1.2.0,3,Try to derive M*N,1,0,23.897999999999996,118.923,,6,0,0,1
wrcoakle,,630,12,12,0,0,1,(-K+L),6,3,3,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,0,2.-1.2.0,3,Try to derive M*N,1,0,4.8089999999999975,134.081,,6,0,0,1
wrcoakle,,632,14,14,0,0,3,MP,7,3,4,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,2.-1.2.0,3,Try to derive M*N,1,0,78.88,216.053,,6,0,0,1
wrcoakle,,597,3,3,0,0,7,get,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2.-1.1.0,3,Try to derive F,0,2,5.662,10.615,,7,0,0,1
wrcoakle,,609,12,12,0,0,3,Add,5,2,3,0,1,0,1,0,0,0,5,2,3,0,1,0,1,0,0,0,2.-1.1.0,3,Try to derive (F+G),1,1,5.513000000000005,41.996,,7,0,0,0
wrcoakle,,30,1,1,0,0,1,((G+Z)>-W),1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0.3.0,3,Try to derive -W,1,1,42.294,42.294,,9,0,0,0
wrcoakle,,219,1,41,0,0,1,((G+Z)>-W),1,0,0,0,0,0,0,0,0,0,15,13,13,0,0,0,0,0,0,0,1.0.3.0,3,Try to derive -W,1,1,17.4,17.4,,9,0,1,0
wrcoakle,,316,14,76,0,0,1,Z,6,3,3,0,1,0,0,0,0,1,29,25,18,0,1,0,0,0,0,3,1.0.3.0,3,Try to derive -W,1,1,1.8259999999999934,162.004,,9,0,3,0
wrcoakle,,366,1,94,0,1,7,get,0,0,0,0,0,0,1,0,0,0,31,27,28,0,2,0,1,0,2,3,1.0.3.0,3,Try to derive -W,0,1,7.431,7.431,,9,0,5,0
wrcoakle,,447,4,134,0,0,1,Z,3,1,0,0,0,0,0,0,0,0,48,41,35,0,3,0,1,0,3,3,1.0.3.0,3,Try to derive -W,1,1,0.3570000000000011,10.422,,9,0,7,0
wrcoakle,,532,61,191,0,0,2,((G+Z)>-W),29,25,6,0,0,1,0,0,0,0,74,65,41,0,3,1,1,0,3,3,1.0.3.0,3,Try to derive -W,1,1,1.1579999999999586,286.441,,9,0,7,0
wrcoakle,,563,78,208,0,0,1,Z,38,31,7,0,1,1,0,0,0,0,83,71,42,0,4,1,1,0,3,3,1.0.3.0,3,Try to derive -W,1,1,5.372000000000071,858.432,,9,0,7,0
wrcoakle,,601,101,231,0,0,2,((-G*-Z)+-W),45,39,14,0,2,1,0,0,0,0,90,79,49,0,5,1,1,0,3,3,1.0.3.0,3,Try to derive -W,1,1,10.38000000000011,1279.94,,9,0,7,0
wrcoakle,,460,2,245,0,0,1,Z,2,0,0,0,0,0,0,0,0,0,95,80,56,0,6,1,1,0,3,3,1.0.3.0,3,Try to derive -W,1,1,22.161,26.485,,9,0,9,1
wrcoakle,,489,21,264,0,0,10,,9,7,4,0,0,0,0,0,0,1,102,87,60,0,6,1,1,0,3,4,1.0.3.0,3,Try to derive -W,1,1,5.835000000000008,167.667,,9,0,9,1
wrcoakle,,539,24,291,0,0,3,Add,9,4,8,0,2,1,0,0,0,0,112,91,70,0,8,2,1,0,3,4,1.0.3.0,3,Try to derive (W+-R),1,1,5.445000000000022,165.258,,9,0,11,0
